datetime,plotcode,A,B
2021-01-05 17:30:00,1A09N,1.8946666666666667,2.429666666666668
2021-01-05 13:00:00,1A10M,,1.5600000000000005
2021-01-05 13:30:00,1A10M,,1.5686666666666669
2021-01-05 14:00:00,1A10M,,1.5806666666666669
2021-01-05 14:30:00,1A10M,,1.5953333333333335
2021-01-05 15:00:00,1A10M,,1.6059999999999999
2021-01-05 15:30:00,1A10M,,1.6133333333333328
2021-01-05 16:00:00,1A10M,,1.6203333333333338
2021-01-05 16:30:00,1A10M,,1.6300000000000003
2021-01-05 17:00:00,1A10M,,1.630666666666667
2021-01-05 17:30:00,1A10M,,1.6303333333333336
2021-01-05 13:00:00,1A11N,2.0900000000000007,1.7620000000000005
2021-01-05 13:30:00,1A11N,2.0906666666666665,1.7773333333333334
2021-01-05 14:00:00,1A11N,2.0983333333333336,1.7953333333333328
2021-01-05 14:30:00,1A11N,2.1000000000000005,1.8026666666666664
2021-01-05 15:00:00,1A11N,2.1000000000000005,1.8066666666666669
2021-01-05 15:30:00,1A11N,2.100333333333334,1.8106666666666669
2021-01-05 16:00:00,1A11N,2.106666666666667,1.8163333333333327
2021-01-05 16:30:00,1A11N,2.11,1.8156666666666672
2021-01-05 17:00:00,1A11N,2.11,1.8069999999999995
2021-01-05 17:30:00,1A11N,2.110333333333333,1.7956666666666667
2021-01-05 13:00:00,1A12M,1.2409999999999997,1.7203333333333333
2021-01-05 13:30:00,1A12M,1.2779999999999998,1.7239999999999995
2021-01-05 14:00:00,1A12M,1.303333333333333,1.7340000000000004
2021-01-05 14:30:00,1A12M,1.298333333333333,1.7409999999999999
2021-01-05 15:00:00,1A12M,1.301333333333333,1.7486666666666666
2021-01-05 15:30:00,1A12M,1.3146666666666669,1.752333333333333
2021-01-05 16:00:00,1A12M,1.314666666666667,1.7589999999999997
2021-01-05 16:30:00,1A12M,1.2946666666666669,1.7616666666666667
2021-01-05 17:00:00,1A12M,1.261,1.7643333333333335
2021-01-05 17:30:00,1A12M,1.230333333333333,1.762333333333333
2021-01-05 13:00:00,1A13M,1.3583333333333336,1.8276666666666663
2021-01-05 13:30:00,1A13M,1.4149999999999998,1.8436666666666672
2021-01-05 14:00:00,1A13M,1.3670000000000009,1.8609999999999995
2021-01-05 14:30:00,1A13M,1.354666666666667,1.8730000000000004
2021-01-05 15:00:00,1A13M,1.375,1.8800000000000003
2021-01-05 15:30:00,1A13M,1.3913333333333335,1.8883333333333328
2021-01-05 16:00:00,1A13M,1.3613333333333335,1.8940000000000001
2021-01-05 16:30:00,1A13M,1.313666666666667,1.9
2021-01-05 17:00:00,1A13M,1.254333333333333,1.8986666666666665
2021-01-05 17:30:00,1A13M,1.2403333333333333,1.89
2021-01-05 13:00:00,1A14M,2.5900000000000007,1.8400000000000007
2021-01-05 13:30:00,1A14M,2.589,1.8466666666666671
2021-01-05 14:00:00,1A14M,2.5810000000000004,1.8583333333333327
2021-01-05 14:30:00,1A14M,2.5810000000000004,1.87
2021-01-05 15:00:00,1A14M,2.5810000000000004,1.8796666666666684
2021-01-05 15:30:00,1A14M,2.583333333333334,1.886
2021-01-05 16:00:00,1A14M,2.589333333333334,1.89
2021-01-05 16:30:00,1A14M,2.5900000000000007,1.8963333333333328
2021-01-05 17:00:00,1A14M,2.5900000000000007,1.9
2021-01-05 17:30:00,1A14M,2.5900000000000007,1.8940000000000001
